title_index,user_index,rating,user,index
402.0,7652.0,5,,
402.0,7914.0,5,,
402.0,7674.0,5,,
402.0,2266.0,5,,
402.0,197.0,1,,
402.0,10048.0,5,,
402.0,10094.0,2,,
402.0,8991.0,1,,
402.0,8444.0,5,,
402.0,2877.0,5,,
402.0,7836.0,5,,
402.0,8913.0,5,,
402.0,3109.0,5,,
402.0,10499.0,5,,
402.0,4403.0,5,,
402.0,8067.0,5,,
402.0,2635.0,5,,
402.0,3853.0,5,,
402.0,4380.0,5,,
402.0,8528.0,5,,
402.0,654.0,5,,
402.0,4690.0,1,,
402.0,5020.0,1,,
402.0,475.0,5,,
402.0,3577.0,5,,
672.0,2478.0,2,,
672.0,2873.0,1,,
672.0,5702.0,2,,
672.0,4629.0,1,,
672.0,6329.0,2,,
672.0,3376.0,5,,
672.0,846.0,2,,
672.0,7966.0,5,,
672.0,4789.0,2,,
672.0,10231.0,1,,
672.0,5278.0,5,,
672.0,7920.0,1,,
672.0,8934.0,5,,
672.0,1350.0,1,,
672.0,4365.0,5,,
672.0,2355.0,5,,
672.0,4944.0,1,,
672.0,9409.0,5,,
672.0,1318.0,3,,
672.0,9264.0,5,,
672.0,2796.0,5,,
672.0,9774.0,5,,
672.0,2376.0,5,,
672.0,10274.0,5,,
672.0,6386.0,3,,
408.0,4202.0,4,,
408.0,7275.0,3,,
408.0,8331.0,3,,
408.0,8558.0,1,,
408.0,4593.0,3,,
408.0,6231.0,2,,
408.0,7001.0,1,,
408.0,9090.0,1,,
408.0,8204.0,3,,
408.0,9813.0,5,,
408.0,623.0,5,,
408.0,9084.0,5,,
408.0,1166.0,5,,
408.0,3761.0,5,,
408.0,1202.0,5,,
408.0,10000.0,5,,
408.0,10433.0,5,,
408.0,745.0,3,,
408.0,8756.0,2,,
408.0,5179.0,2,,
87.0,5779.0,4,,
87.0,836.0,5,,
87.0,10479.0,5,,
87.0,2470.0,5,,
87.0,2278.0,5,,
87.0,1612.0,5,,
87.0,4630.0,5,,
606.0,4711.0,2,,
606.0,7992.0,2,,
606.0,2820.0,1,,
606.0,3079.0,2,,
606.0,10504.0,1,,
606.0,4194.0,2,,
606.0,9855.0,1,,
606.0,9989.0,1,,
606.0,9218.0,1,,
606.0,10049.0,1,,
606.0,4618.0,2,,
606.0,477.0,3,,
606.0,9339.0,3,,
606.0,539.0,2,,
606.0,8904.0,5,,
606.0,10290.0,5,,
606.0,7251.0,5,,
606.0,8685.0,5,,
606.0,6596.0,5,,
606.0,4357.0,5,,
606.0,4201.0,5,,
606.0,2845.0,5,,
606.0,2775.0,5,,
606.0,1262.0,5,,
606.0,3573.0,5,,
532.0,10561.0,5,,
532.0,5994.0,5,,
532.0,7929.0,5,,
532.0,9768.0,5,,
532.0,4523.0,5,,
532.0,10629.0,5,,
532.0,4411.0,5,,
532.0,687.0,5,,
532.0,4757.0,4,,
224.0,8630.0,4,,
224.0,2437.0,5,,
224.0,7028.0,5,,
224.0,5792.0,5,,
224.0,6070.0,5,,
224.0,3361.0,5,,
224.0,8802.0,5,,
224.0,8808.0,5,,
224.0,8725.0,5,,
224.0,8631.0,4,,
224.0,1804.0,4,,
224.0,10381.0,4,,
529.0,4525.0,3,,
529.0,10481.0,4,,
529.0,9228.0,4,,
529.0,2936.0,5,,
529.0,9983.0,5,,
529.0,1052.0,5,,
529.0,1132.0,5,,
529.0,2921.0,5,,
529.0,3188.0,5,,
529.0,4902.0,5,,
529.0,1537.0,5,,
529.0,8589.0,5,,
529.0,4190.0,4,,
529.0,7135.0,5,,
529.0,3764.0,5,,
529.0,5033.0,5,,
529.0,6858.0,5,,
529.0,7854.0,5,,
529.0,7211.0,5,,
529.0,6184.0,5,,
529.0,454.0,5,,
529.0,9058.0,5,,
529.0,3259.0,4,,
529.0,4816.0,5,,
529.0,9857.0,5,,
384.0,83.0,3,,
384.0,7701.0,5,,
384.0,10331.0,5,,
384.0,3193.0,5,,
384.0,7933.0,5,,
384.0,6326.0,5,,
384.0,9043.0,5,,
384.0,9200.0,4,,
384.0,9580.0,5,,
384.0,2207.0,5,,
384.0,7039.0,4,,
384.0,4861.0,5,,
384.0,9009.0,5,,
384.0,9728.0,5,,
384.0,6264.0,5,,
384.0,1095.0,1,,
384.0,5274.0,1,,
384.0,7000.0,5,,
384.0,9745.0,5,,
384.0,4640.0,5,,
384.0,1018.0,5,,
384.0,9255.0,5,,
384.0,4755.0,5,,
384.0,5575.0,5,,
384.0,4567.0,5,,
285.0,9741.0,1,,
285.0,9589.0,2,,
285.0,4987.0,1,,
285.0,1193.0,2,,
285.0,2891.0,2,,
285.0,6877.0,1,,
285.0,5345.0,1,,
285.0,3668.0,3,,
285.0,4734.0,2,,
285.0,6548.0,1,,
285.0,5583.0,1,,
285.0,1963.0,3,,
285.0,65.0,2,,
285.0,4845.0,1,,
285.0,4645.0,4,,
285.0,6145.0,2,,
285.0,4655.0,1,,
285.0,7458.0,3,,
285.0,7728.0,1,,
285.0,4821.0,5,,
285.0,8852.0,3,,
285.0,7328.0,2,,
285.0,10449.0,1,,
285.0,4065.0,1,,
7.0,1321.0,1,,
7.0,10487.0,1,,
7.0,3489.0,1,,
7.0,5509.0,1,,
7.0,5283.0,1,,
7.0,242.0,5,,
7.0,5115.0,5,,
7.0,6561.0,5,,
7.0,2755.0,1,,
7.0,10112.0,1,,
7.0,1824.0,1,,
7.0,7054.0,5,,
7.0,1610.0,5,,
7.0,3262.0,5,,
7.0,2887.0,4,,
7.0,9826.0,3,,
7.0,4066.0,1,,
7.0,8829.0,1,,
7.0,2141.0,5,,
7.0,1175.0,5,,
